id,userage,usergender,userphone,phoneos,batteryhealth,startbatterypercentage,endbatterypercentage,sessionlength,timedonphone,appcount,screenbrightness,usednetwork,usedbluetooth,usedGPS,usedbatterysaving
33,48,Man,Galaxy S10 Edge,Android,91,79,76,1041.7,Yes,5,98.0,Yes,No,No,No
34,42,Woman,Galaxy S9 Edge,Android,87,99,94,961.7,Yes,5,52.0,Yes,No,No,No
35,70,Man,iPhone 15 Pro,iOs,83,72,71,859.0,Yes,3,57.0,Yes,Yes,No,No
36,52,Man,iPhone 15,iOs,89,92,88,810.8,Yes,5,15.0,Yes,No,No,Yes
37,69,Woman,Galaxy S6 Edge,Android,83,94,85,861.3,Yes,5,88.0,Yes,Yes,No,No
38,60,Woman,Galaxy S25 Edge,Android,87,75,67,1058.2,Yes,4,20.0,Yes,Yes,Yes,No
39,52,Woman,iPhone 15 Pro Max,iOs,91,95,94,1191.5,Yes,4,33.0,Yes,No,No,No
40,19,Woman,iPhone 13,iOs,90,85,78,1042.4,Yes,3,92.0,Yes,Yes,Yes,No
41,73,Man,iPhone Air,iOs,80,82,76,1116.3,Yes,5,80.0,Yes,No,No,No
42,46,Man,iPhone 15 Pro,iOs,87,79,76,1023.2,Yes,4,42.0,Yes,No,No,Yes
43,28,Man,iPhone 15 Pro,iOs,91,86,85,926.6,Yes,3,60.0,Yes,No,No,No
44,58,Man,Galaxy S8 Edge,Android,87,97,94,936.8,Yes,4,97.0,Yes,Yes,No,No
45,28,Man,Samsung Galaxy Z Flip 6,Android,90,71,70,826.6,Yes,4,21.0,No,Yes,No,Yes
46,60,Woman,Galaxy S10 Edge,Android,87,96,93,726.2,Yes,3,85.0,Yes,Yes,Yes,No
47,70,Man,iPhone 12,iOs,80,75,72,314.6,No,4,97.0,Yes,No,Yes,No
48,55,Woman,Galaxy S20 Edge,Android,88,92,89,705.8,Yes,5,27.0,No,Yes,No,No
49,38,Man,Samsung Galaxy S25,Android,89,71,70,60.0,No,4,40.0,Yes,No,No,Yes
50,33,Man,Samsung Galaxy S22,Android,89,97,96,826.9,Yes,7,84.0,Yes,Yes,No,No
51,45,Man,Galaxy S8 Edge,Android,84,91,87,348.5,No,3,37.0,Yes,Yes,Yes,No
52,56,Man,iPhone 11,iOs,83,100,92,968.2,Yes,4,98.0,No,Yes,No,No
53,67,Woman,Galaxy S6 Edge,Android,81,100,94,870.8,Yes,8,82.0,Yes,No,No,No
54,42,Man,Galaxy S20 Edge,Android,87,75,68,691.9,Yes,6,90.0,Yes,Yes,No,No
55,50,Woman,iPhone Air,iOs,84,71,69,890.9,Yes,6,91.0,Yes,Yes,No,No
56,20,Man,iPhone 13 Pro Max,iOs,93,86,85,323.1,No,7,42.0,Yes,No,No,No
57,21,Woman,iPhone 12,iOs,89,98,97,60.0,No,6,32.0,Yes,No,No,No
58,44,Man,Galaxy S10 Edge,Android,92,74,68,902.7,Yes,5,59.0,No,No,No,No
59,64,Woman,Galaxy S21 Edge,Android,90,81,79,779.2,Yes,3,91.0,Yes,Yes,Yes,No
60,57,Woman,iPhone 13 Pro Max,iOs,90,85,84,620.9,Yes,8,22.0,No,No,No,Yes
61,70,Non-binary,Google Pixel 7,Android,87,76,75,252.5,No,3,46.0,Yes,Yes,No,Yes
62,56,Man,Google Pixel 7,Android,86,71,66,758.6,Yes,9,100.0,Yes,No,No,No
63,35,Man,Galaxy S10 Edge,Android,89,86,85,1095.0,Yes,8,81.0,Yes,No,No,No
64,55,Prefer not to say,iPhone 15,iOs,83,84,83,801.9,Yes,4,25.0,No,Yes,Yes,Yes
65,35,Man,Galaxy S8 Edge,Android,88,81,80,275.7,No,3,15.0,Yes,Yes,No,Yes
66,61,Woman,Google Pixel 7,Android,85,74,73,958.3,Yes,4,94.0,No,Yes,No,No
67,64,Woman,iPhone 14 Pro Max,iOs,87,83,82,820.5,Yes,3,62.0,Yes,No,No,No
68,43,Man,Samsung Galaxy S22,Android,85,89,83,97.1,No,3,11.0,Yes,No,No,Yes
69,46,Man,Galaxy S9 Edge,Android,89,73,69,881.8,Yes,3,51.0,Yes,Yes,Yes,No
70,74,Non-binary,iPhone 13,iOs,82,90,89,1004.8,Yes,6,25.0,Yes,No,No,Yes
71,67,Man,iPhone Air,iOs,84,88,78,130.8,No,6,89.0,Yes,Yes,No,No
72,23,Non-binary,Galaxy S22 Edge,Android,87,74,73,885.2,Yes,6,16.0,Yes,No,No,Yes
73,38,Woman,Galaxy S9 Edge,Android,88,70,69,302.4,No,6,94.0,Yes,No,No,No
74,48,Man,iPhone 13,iOs,84,97,95,1067.2,Yes,6,95.0,Yes,Yes,No,No
75,26,Man,Galaxy S24 Edge,Android,92,72,71,60.0,No,7,49.0,Yes,No,No,Yes
76,70,Woman,Galaxy S9 Edge,Android,80,90,84,276.4,No,7,37.0,Yes,No,No,No
77,49,Man,iPhone 14,iOs,89,70,67,1055.8,Yes,5,41.0,No,No,No,Yes
78,67,Woman,Galaxy S24 Edge,Android,82,81,79,827.9,Yes,5,19.0,Yes,No,No,Yes
79,74,Woman,iPhone 14 Pro,iOs,86,75,73,941.1,Yes,3,19.0,Yes,No,No,Yes
80,71,Woman,Galaxy S6 Edge,Android,80,99,98,893.6,Yes,3,100.0,No,No,Yes,No
81,65,Woman,Galaxy S8 Edge,Android,85,96,95,924.6,Yes,4,10.0,No,No,No,Yes
82,72,Man,Galaxy S25 Edge,Android,85,94,87,570.9,Yes,3,40.0,Yes,Yes,No,Yes
83,16,Woman,iPhone 14,iOs,88,76,74,804.2,Yes,5,39.0,Yes,No,No,Yes
84,53,Woman,iPhone 14 Pro,iOs,84,85,83,996.7,Yes,5,28.0,Yes,No,No,No
85,41,Man,Galaxy S9 Edge,Android,84,72,66,1177.1,Yes,3,88.0,Yes,No,No,No
86,37,Woman,Galaxy S8 Edge,Android,88,74,68,70.5,No,5,93.0,Yes,No,No,No
87,38,Man,Google Pixel 7,Android,89,89,88,1017.8,Yes,4,34.0,No,No,No,Yes
88,19,Woman,iPhone 14 Pro,iOs,89,92,91,649.8,Yes,6,26.0,Yes,No,No,Yes
89,68,Woman,iPhone 14 Pro,iOs,84,73,72,1138.6,Yes,3,37.0,Yes,Yes,Yes,No
90,57,Man,Google Pixel 8,Android,90,79,78,1044.0,Yes,3,94.0,Yes,Yes,No,No
91,33,Man,Huawei P50,Android,90,70,69,764.5,Yes,5,18.0,Yes,No,No,Yes
92,17,Man,iPhone 14 Pro,iOs,90,79,74,1021.5,Yes,6,95.0,No,No,No,No
93,33,Man,Samsung Galaxy S24,Android,88,93,92,1046.0,Yes,7,70.0,Yes,No,Yes,No
94,56,Woman,Galaxy S6 Edge,Android,81,86,85,831.8,Yes,3,30.0,No,Yes,No,Yes
95,26,Non-binary,Samsung Galaxy S23,Android,90,97,96,589.5,Yes,6,44.0,Yes,No,No,Yes
96,45,Man,Galaxy S24 Edge,Android,90,97,96,844.1,Yes,5,47.0,No,No,No,No
97,38,Man,Galaxy S22 Edge,Android,89,71,66,692.2,Yes,4,38.0,Yes,Yes,Yes,Yes
98,70,Man,iPhone 14 Pro Max,iOs,89,100,99,836.5,Yes,6,36.0,Yes,No,No,No
99,26,Woman,Galaxy S25 Edge,Android,92,95,85,1183.7,Yes,5,100.0,Yes,No,Yes,No
100,26,Woman,Galaxy S8 Edge,Android,92,84,81,82.0,No,3,15.0,Yes,No,No,Yes
101,47,Non-binary,Galaxy S6 Edge,Android,82,94,93,427.7,No,7,25.0,Yes,No,No,No
102,35,Woman,Samsung Galaxy S25,Android,94,95,90,1007.1,Yes,5,13.0,No,No,No,Yes
103,70,Woman,Xiaomi 12,Android,88,78,76,965.1,Yes,4,84.0,Yes,No,No,No
104,56,Woman,iPhone 15,iOs,85,88,86,1313.4,Yes,3,99.0,Yes,No,No,No
105,29,Prefer not to say,Galaxy S6 Edge,Android,92,79,77,242.1,No,5,42.0,Yes,Yes,No,Yes
106,42,Prefer not to say,Galaxy S25 Edge,Android,91,74,71,772.1,Yes,3,99.0,Yes,No,No,No
107,47,Man,OnePlus 10,Android,91,86,82,980.5,Yes,3,69.0,Yes,No,No,No
108,61,Man,iPhone 13,iOs,82,87,86,950.1,Yes,5,32.0,Yes,No,No,Yes
109,65,Man,Google Pixel 7,Android,88,87,86,788.5,Yes,3,12.0,Yes,Yes,Yes,Yes
110,21,Man,Galaxy S10 Edge,Android,94,96,92,291.3,No,5,95.0,Yes,No,No,No
111,21,Man,Galaxy S23 Edge,Android,93,94,93,824.2,Yes,8,63.0,No,No,No,No
112,49,Prefer not to say,Galaxy S20 Edge,Android,91,80,79,641.3,Yes,5,43.0,No,Yes,No,Yes
113,24,Man,Galaxy S9 Edge,Android,87,96,92,923.1,Yes,4,11.0,Yes,No,Yes,Yes
114,72,Man,Galaxy S25 Edge,Android,84,72,66,544.4,Yes,5,63.0,Yes,Yes,Yes,No
115,22,Woman,iPhone 13 Pro Max,iOs,93,97,93,339.9,No,3,44.0,No,Yes,No,No
116,32,Non-binary,iPhone 17 Pro Max,iOs,94,86,85,748.3,Yes,5,22.0,Yes,No,No,No
117,42,Woman,Galaxy S25 Edge,Android,91,81,79,845.7,Yes,3,86.0,Yes,No,No,No
118,45,Woman,iPhone 13 Pro,iOs,86,90,83,1007.5,Yes,3,80.0,Yes,No,No,No
119,47,Man,iPhone 15 Pro,iOs,86,76,74,772.5,Yes,3,78.0,Yes,Yes,Yes,No
120,61,Woman,Galaxy S6 Edge,Android,80,100,99,746.5,Yes,6,91.0,No,No,No,No
121,73,Woman,Galaxy S7 Edge,Android,81,81,79,327.4,No,3,87.0,Yes,No,No,No
122,52,Man,iPhone 11,iOs,81,81,77,980.5,Yes,6,59.0,Yes,No,No,No
123,51,Woman,Galaxy S22 Edge,Android,89,84,83,1027.2,Yes,5,89.0,No,No,No,No
124,40,Non-binary,Galaxy S20 Edge,Android,87,93,89,833.0,Yes,6,40.0,Yes,No,Yes,No
125,31,Man,iPhone 17 Pro,iOs,91,94,93,814.2,Yes,6,82.0,No,Yes,No,No
126,67,Woman,iPhone 13 Pro,iOs,80,77,72,848.0,Yes,5,100.0,Yes,Yes,No,No
127,45,Man,iPhone 13 Pro Max,iOs,93,96,95,990.0,Yes,6,22.0,Yes,Yes,No,No
128,34,Man,iPhone 13,iOs,86,81,76,954.3,Yes,6,84.0,Yes,No,Yes,No
129,38,Woman,iPhone Air,iOs,86,83,78,1025.9,Yes,4,99.0,Yes,No,No,No
130,46,Man,iPhone Air,iOs,83,82,81,931.4,Yes,4,38.0,Yes,No,No,No
131,54,Man,Google Pixel 8,Android,92,80,79,1031.8,Yes,4,40.0,Yes,Yes,No,Yes
132,27,Man,Samsung Galaxy Z Fold 6,Android,94,96,88,292.0,No,7,47.0,Yes,Yes,No,No
133,16,Man,iPhone 14 Pro,iOs,89,94,90,801.8,Yes,6,64.0,Yes,Yes,No,No
134,41,Man,iPhone 13 Pro Max,iOs,88,80,73,100.3,No,8,92.0,Yes,Yes,No,No
135,62,Man,iPhone 14,iOs,85,92,89,745.9,Yes,3,62.0,Yes,Yes,No,No
136,24,Man,Galaxy S7 Edge,Android,89,85,80,1039.4,Yes,6,43.0,Yes,Yes,No,No
137,22,Woman,Galaxy S25 Edge,Android,92,71,68,876.7,Yes,3,21.0,Yes,No,No,No
138,60,Man,iPhone 12,iOs,82,80,78,1014.1,Yes,7,42.0,Yes,Yes,No,No
139,49,Man,Huawei P50,Android,90,82,80,60.0,No,6,16.0,Yes,No,No,Yes
140,44,Man,Huawei P50,Android,89,100,97,786.5,Yes,6,67.0,Yes,No,No,No
141,70,Man,iPhone 11,iOs,82,100,97,828.8,Yes,6,22.0,Yes,No,No,No
142,19,Man,Samsung Galaxy S22,Android,89,78,77,845.4,Yes,6,87.0,Yes,No,No,No
143,18,Man,iPhone 14 Pro Max,iOs,94,87,84,560.7,Yes,3,94.0,Yes,Yes,No,No
144,37,Prefer not to say,Galaxy S20 Edge,Android,91,72,71,948.3,Yes,7,13.0,Yes,Yes,Yes,Yes
145,21,Woman,Galaxy S24 Edge,Android,92,74,68,1165.2,Yes,3,87.0,Yes,No,Yes,No
